"DATE_NAME","DATE_CODE","GEOGRAPHY_NAME","GEOGRAPHY_CODE","SEX_NAME","AGE_NAME","OBS_VALUE","OBS_STATUS"
"2024","2024","Tendring","E07000076","Total","All ages",156759,"A"
"2024","2024","Uttlesford","E07000077","Total","All ages",95106,"A"
"2024","2024","Broxbourne","E07000095","Total","All ages",101900,"A"
"2024","2024","Dacorum","E07000096","Total","All ages",161420,"A"
"2024","2024","East Hertfordshire","E07000242","Total","All ages",156875,"A"
"2024","2024","Hertsmere","E07000098","Total","All ages",110212,"A"
"2024","2024","North Hertfordshire","E07000099","Total","All ages",137201,"A"
"2024","2024","St Albans","E07000240","Total","All ages",151012,"A"
"2024","2024","Stevenage","E07000243","Total","All ages",91774,"A"
"2024","2024","Three Rivers","E07000102","Total","All ages",95807,"A"
"2024","2024","Watford","E07000103","Total","All ages",107171,"A"
"2024","2024","Welwyn Hatfield","E07000241","Total","All ages",122819,"A"
"2024","2024","Breckland","E07000143","Total","All ages",146620,"A"
"2024","2024","Broadland","E07000144","Total","All ages",138157,"A"
"2024","2024","Great Yarmouth","E07000145","Total","All ages",100529,"A"
"2024","2024","King's Lynn and West Norfolk","E07000146","Total","All ages",156206,"A"
"2024","2024","North Norfolk","E07000147","Total","All ages",103217,"A"
"2024","2024","Norwich","E07000148","Total","All ages",147182,"A"
"2024","2024","South Norfolk","E07000149","Total","All ages",148448,"A"
"2024","2024","Babergh","E07000200","Total","All ages",97033,"A"
"2024","2024","Ipswich","E07000202","Total","All ages",140274,"A"
"2024","2024","East Suffolk","E07000244","Total","All ages",249664,"A"
"2024","2024","Mid Suffolk","E07000203","Total","All ages",110775,"A"
"2024","2024","West Suffolk","E07000245","Total","All ages",188485,"A"
"2024","2024","Camden","E09000007","Total","All ages",216943,"A"
"2024","2024","City of London","E09000001","Total","All ages",15111,"A"
"2024","2024","Hackney","E09000012","Total","All ages",266758,"A"
"2024","2024","Hammersmith and Fulham","E09000013","Total","All ages",188687,"A"
"2024","2024","Haringey","E09000014","Total","All ages",263850,"A"
"2024","2024","Islington","E09000019","Total","All ages",223024,"A"
"2024","2024","Kensington and Chelsea","E09000020","Total","All ages",144518,"A"
"2024","2024","Lambeth","E09000022","Total","All ages",316920,"A"
"2024","2024","Lewisham","E09000023","Total","All ages",301255,"A"
"2024","2024","Newham","E09000025","Total","All ages",374523,"A"
"2024","2024","Southwark","E09000028","Total","All ages",314786,"A"
"2024","2024","Tower Hamlets","E09000030","Total","All ages",331886,"A"
"2024","2024","Wandsworth","E09000032","Total","All ages",337655,"A"
"2024","2024","Westminster","E09000033","Total","All ages",209996,"A"
